add-none,2,100,400,25668572,64171,0
add-none,2,1000,4000,20031314,5007,0
add-none,2,10000,40000,14226956,355,0
add-none,2,100000,400000,21844563,54,5281
add-none,4,100,800,18124170,22655,0
add-none,4,1000,8000,21890098,2736,14
add-none,4,10000,80000,21562776,269,250
add-none,4,100000,800000,33787174,42,-4089
add-none,8,100,1600,36141631,22588,-11
add-none,8,1000,16000,28366340,1772,-105
add-none,8,10000,160000,26803846,167,-5000
add-none,8,100000,1600000,52967651,33,-10008
add-none,12,100,2400,33260225,13858,6
add-none,12,1000,24000,28472141,1186,-135
add-none,12,10000,240000,33847378,141,-4488
add-none,12,100000,2400000,70412068,29,-44812
add-yield-none,2,10,40,30407968,760199,0
add-yield-none,4,10,80,24808172,310102,0
add-yield-none,8,10,160,57222324,357639,0
add-yield-none,12,10,240,61288349,255368,0
add-yield-none,2,20,80,42078566,525982,0
add-yield-none,4,20,160,43216076,270100,0
add-yield-none,8,20,320,39547201,123585,0
add-yield-none,12,20,480,57330143,119437,0
add-yield-none,2,40,160,33014395,206339,0
add-yield-none,4,40,320,34245183,107016,0
add-yield-none,8,40,640,45383546,70911,0
add-yield-none,12,40,960,74654539,77765,0
add-yield-none,2,80,320,34696582,108426,0
add-yield-none,4,80,640,44066494,68853,0
add-yield-none,8,80,1280,59749945,46679,0
add-yield-none,12,80,1920,70568036,36754,0
add-yield-none,2,100,400,10600511,26501,0
add-yield-none,4,100,800,35111701,43889,0
add-yield-none,8,100,1600,46713436,29195,0
add-yield-none,12,100,2400,81907090,34127,0
add-yield-none,2,1000,4000,41275323,10318,0
add-yield-none,4,1000,8000,50893395,6361,0
add-yield-none,8,1000,16000,45807794,2862,0
add-yield-none,12,1000,24000,202236446,8426,726
add-yield-none,2,10000,40000,130106063,3252,0
add-yield-none,4,10000,80000,185346241,2316,-491
add-yield-none,8,10000,160000,210238408,1313,-1990
add-yield-none,12,10000,240000,256983058,1070,-11513
add-yield-none,2,100000,400000,572595381,1431,-769
add-yield-none,4,100000,800000,1225730073,1532,-102547
add-yield-none,8,100000,1600000,1940303741,1212,-90430
add-yield-none,12,100000,2400000,1877903051,782,-45608
add-none,1,100,200,26194274,130971,0
add-none,1,1000,2000,10309831,5154,0
add-none,1,10000,20000,10363848,518,0
add-none,1,100000,200000,11125800,55,0
add-none,1,1000000,2000000,72409168,36,0
add-none,2,100,400,17598948,43997,0
add-none,2,1000,4000,19552852,4888,0
add-none,2,10000,40000,30982313,774,0
add-none,2,100000,400000,24027065,60,-30112
add-none,2,1000000,4000000,76348691,19,-169580
add-none,4,100,800,43446956,54308,-26
add-none,4,1000,8000,24118665,3014,-63
add-none,4,10000,80000,34596146,432,0
add-none,4,100000,800000,33235662,41,17993
add-none,4,1000000,8000000,159384613,19,-715261
add-yield-none,1,100,200,32290408,161452,0
add-yield-none,1,1000,2000,42722874,21361,0
add-yield-none,1,10000,20000,217394882,10869,0
add-yield-none,1,100000,200000,1198901650,5994,0
add-yield-none,1,1000000,2000000,10811971625,5405,0
add-yield-none,2,100,400,32511178,81277,0
add-yield-none,2,1000,4000,50644033,12661,136
add-yield-none,2,10000,40000,224918142,5622,4944
add-yield-none,2,100000,400000,1163483618,2908,-6277
add-yield-none,2,1000000,4000000,9891285240,2472,-304505
add-yield-none,4,100,800,34249621,42812,0
add-yield-none,4,1000,8000,46806512,5850,0
add-yield-none,4,10000,80000,168971876,2112,-897
add-yield-none,4,100000,800000,1624488738,2030,-69964
add-yield-none,4,1000000,8000000,11989126361,1498,-243263
add-yield-m,2,10000,40000,480226889,12005,0
add-yield-m,4,10000,80000,725539839,9069,0
add-yield-m,8,10000,160000,2003028108,12518,0
add-yield-m,12,10000,240000,3176623085,13235,0
add-yield-c,2,10000,40000,68991722,1724,0
add-yield-c,4,10000,80000,167484566,2093,0
add-yield-c,8,10000,160000,238787478,1492,0
add-yield-c,12,10000,240000,466035023,1941,0
add-yield-s,2,10000,40000,774943150,19373,0
add-yield-s,4,10000,80000,2108676326,26358,0
add-yield-s,8,1000,16000,500383314,31273,0
add-yield-s,12,1000,24000,2487247355,103635,0
add-m,1,10000,20000,909707,45,0
add-m,2,10000,40000,4588095,114,0
add-m,4,10000,80000,13886871,173,0
add-m,8,10000,160000,34922935,218,0
add-m,12,10000,240000,50778445,211,0
add-c,1,10000,20000,1073353,53,0
add-c,2,10000,40000,4561324,114,0
add-c,4,10000,80000,5423772,67,0
add-c,8,10000,160000,15512894,96,0
add-c,12,10000,240000,30341449,126,0
add-s,1,10000,20000,576905,28,0
add-s,2,10000,40000,3640852,91,0
add-s,4,10000,80000,21082907,263,0
add-s,8,10000,160000,54195529,338,0
add-s,12,10000,240000,111104469,462,0
